Fixed,Random,Linear,Polynomial,Exponential,ExponentialFull,ExponentialEqual,Fibonacci
500000000,804982297,0,1000000,10,0,7,0
500000000,896874982,10000000,1000000,20,7,11,10
500000000,274197405,20000000,2828427,40,25,23,10
500000000,664197076,30000000,5196152,80,16,59,20
500000000,716405708,40000000,8000000,160,134,102,30
500000000,474815091,50000000,11180339,320,186,317,50
500000000,645310323,60000000,14696938,640,136,503,80
500000000,306989354,70000000,18520259,1280,1027,978,130
500000000,254055291,80000000,22627416,2560,1209,2508,210
500000000,675297344,90000000,27000000,5120,464,3543,340
500000000,459333343,100000000,31622776,10240,880,8789,550
500000000,444395529,110000000,36482872,20480,10457,17879,890
500000000,879526094,120000000,41569219,40960,15347,33004,1440
500000000,557279502,130000000,46872166,81920,32275,41986,2330
500000000,952340982,140000000,52383203,163840,68052,85019,3770
500000000,937603999,150000000,58094750,327680,103450,289017,6100
500000000,346756301,160000000,64000000,655360,329928,599283,9870
500000000,998034397,170000000,70092795,1310720,87471,1166221,15970
500000000,315519221,180000000,76367532,2621440,968864,2314339,25840
500000000,771439435,190000000,82819079,5242880,2884321,3206394,41810
500000000,572851421,200000000,89442719,10485760,2695038,8903114,67650
500000000,577740529,210000000,96234089,20971520,20511349,17109793,109460
500000000,723235360,220000000,103189146,41943040,9156536,21186731,177110
500000000,144275489,230000000,110304125,83886080,31124827,44372587,286570
500000000,473681580,240000000,117575507,167772160,61981567,136162100,463680
500000000,15229031,250000000,125000000,335544320,304419188,274225669,750250
500000000,674589535,260000000,132574507,671088640,623543671,513367710,1213930
500000000,796860871,270000000,140296115,1000000000,746860982,682100991,1964180
500000000,674166181,280000000,148162073,1000000000,133877029,967266676,3178110
500000000,345225552,290000000,156169779,1000000000,871109738,950229571,5142290
500000000,96812136,300000000,164316767,1000000000,748606691,562683726,8320400
500000000,947751079,310000000,172600695,1000000000,615748874,759233644,13462690
500000000,198781949,320000000,181019335,1000000000,599244699,895266177,21783090
500000000,265830251,330000000,189570567,1000000000,397025458,887618419,35245780
500000000,880613272,340000000,198252364,1000000000,904422795,542148872,57028870
500000000,700523303,350000000,207062792,1000000000,201428379,709188292,92274650
500000000,685006366,360000000,216000000,1000000000,862746143,908570792,149303520
500000000,667163615,370000000,225062213,1000000000,83482022,986219852,241578170
500000000,735643291,380000000,234247732,1000000000,84535031,792331713,390881690
500000000,516255460,390000000,243554921,1000000000,767777008,783144720,632459860
500000000,465414453,400000000,252982212,1000000000,291665612,605672164,1000000000
500000000,808340505,410000000,262528093,1000000000,512103213,597869133,1000000000
500000000,948591051,420000000,272191109,1000000000,10712607,515422649,1000000000
500000000,798943891,430000000,281969856,1000000000,761841412,790945480,1000000000
500000000,964084149,440000000,291862981,1000000000,615455949,910357564,1000000000
500000000,133741005,450000000,301869176,1000000000,201255981,762222023,1000000000
500000000,645131774,460000000,311987179,1000000000,852566715,855447250,1000000000
500000000,407809046,470000000,322215766,1000000000,593387395,785064770,1000000000
500000000,703392759,480000000,332553755,1000000000,490014687,608066420,1000000000
500000000,1305143,490000000,343000000,1000000000,511829429,970490279,1000000000
500000000,606957910,500000000,353553390,1000000000,860965995,502162859,1000000000
500000000,284532969,510000000,364212849,1000000000,89048958,567839010,1000000000
500000000,113559742,520000000,374977332,1000000000,862802561,707035526,1000000000
500000000,140069886,530000000,385845824,1000000000,558922761,766624192,1000000000
500000000,493291806,540000000,396817338,1000000000,271146540,577208121,1000000000
500000000,32280230,550000000,407890916,1000000000,96463664,833978224,1000000000
500000000,154200697,560000000,419065627,1000000000,895116528,825262747,1000000000
500000000,853861751,570000000,430340562,1000000000,894854735,525667596,1000000000
500000000,763914678,580000000,441714840,1000000000,783967783,853078679,1000000000
500000000,326874684,590000000,453187599,1000000000,31493374,763494852,1000000000
500000000,945288336,600000000,464758001,1000000000,140125096,925500174,1000000000
500000000,552126639,610000000,476425230,1000000000,438636589,727895510,1000000000
500000000,387646933,620000000,488188488,1000000000,562715574,866693699,1000000000
500000000,563925554,630000000,500046997,1000000000,192934146,818745511,1000000000
500000000,522446666,640000000,511999999,1000000000,921374045,715501108,1000000000
500000000,759521411,650000000,524046753,1000000000,901381888,503212168,1000000000
500000000,145275772,660000000,536186534,1000000000,741648546,680736720,1000000000
500000000,50881149,670000000,548418635,1000000000,927383819,578434610,1000000000
500000000,450820840,680000000,560742365,1000000000,72538393,598857616,1000000000
500000000,621895866,690000000,573157046,1000000000,876479521,783022256,1000000000
500000000,111243259,700000000,585662018,1000000000,242990227,904559158,1000000000
500000000,906713616,710000000,598256633,1000000000,21056697,728993171,1000000000
500000000,950797703,720000000,610940258,1000000000,660505578,911419381,1000000000
500000000,162167132,730000000,623712273,1000000000,260551672,506664843,1000000000
